id,name,symbol, high , low ,percentageChange, change , price , quantity ,issueDate,sharevolume,tradevolume, turnover ,lastTradedTime,  marketCap  ,marketCapPercentage,issuedQTY,date_scraped
297,JOHN KEELLS HOLDINGS PLC,JKH.N0000, 20.50 , 19.50 ,4.6875, 0.90 , 20.10 ," 50,000.00 ",23-Oct-86,17342645,992," 345,884,517.50 ",4/10/2025 14:29," 354,255,067,080.30 ",6.3730187,17624630203,4/10/2025
410,L O L C HOLDINGS PLC,LOLC.N0000, 599.00 , 559.75 ,7.80306549, 42.00 , 580.25 , 427.00 ,1-Jan-82,95746,254," 55,342,187.75 ",4/10/2025 14:28," 275,735,000,000.00 ",4.960446,475200000,4/10/2025
381,CEYLON TOBACCO COMPANY PLC,CTC.N0000," 1,384.50 "," 1,335.00 ",3.043143297, 39.50 ," 1,337.50 ", 10.00 ,1-Jan-55,5641,92," 7,645,720.75 ",4/10/2025 14:22," 250,546,000,000.00 ",4.5072927,187323751,4/10/2025
208,COMMERCIAL BANK OF CEYLON PLC,COMB.N0000, 145.00 , 136.00 ,9.39334638, 12.00 , 139.75 ," 39,018.00 ",1-Jan-70,4448252,914," 625,710,338.30 ",4/10/2025 14:28," 211,800,000,000.00 ",3.8102596,1515561695,4/10/2025
1847,LOLC FINANCE PLC,LOFC.N0000, 6.00 , 5.80 ,3.571428571, 0.20 , 5.80 , 1.00 ,7-Jul-11,3538904,180," 20,826,956.00 ",4/10/2025 14:29," 191,859,000,000.00 ",3.451535,33079212299,4/10/2025
68,DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000, 36.80 , 35.50 ,5.202312139, 1.80 , 36.40 , 30.00 ,10-Aug-92,549538,108," 19,676,996.00 ",4/10/2025 14:27," 167,440,000,000.00 ",3.0122313,4600000000,4/10/2025
3695,MELSTACORP PLC,MELS.N0000, 140.00 , 125.00 ,4.453441296, 5.50 , 129.00 ," 1,000.00 ",30-Dec-16,419792,114," 54,726,013.25 ",4/10/2025 14:19," 150,336,000,000.00 ",2.704536,1165397072,4/10/2025
172,HATTON NATIONAL BANK PLC,HNB.N0000, 312.00 , 292.00 ,9.536784741, 26.25 , 301.50 , 109.00 ,1-Jan-71,2034346,628," 618,810,074.30 ",4/10/2025 14:29," 137,474,000,000.00 ",2.4731545,455968474,4/10/2025
266,SAMPATH BANK PLC,SAMP.N0000, 115.00 , 110.25 ,8.413461538, 8.75 , 112.75 , 500.00 ,10-Jun-87,6269427,1749," 708,557,172.30 ",4/10/2025 14:29," 132,222,000,000.00 ",2.3786628,1172700760,4/10/2025
471,DIALOG AXIATA PLC,DIAL.N0000, 14.00 , 13.70 ,1.470588235, 0.20 , 13.80 , 250.00 ,28-Jul-05,1288731,162," 17,859,756.40 ",4/10/2025 14:23," 126,965,000,000.00 ",2.284083,9200334994,4/10/2025
551,CARGILLS (CEYLON) PLC,CARG.N0000, 439.00 , 435.00 ,-0.286368843, (1.25), 435.25 ," 40,000.00 ",1-Jan-46,40315,15," 17,547,073.50 ",4/10/2025 13:48," 112,154,000,000.00 ",2.0176451,257677731,4/10/2025
556,SRI LANKA TELECOM PLC,SLTL.N0000, 61.00 , 58.00 ,2.915951973, 1.70 , 60.00 , 100.00 ,14-Jan-03,39436,65," 2,359,767.60 ",4/10/2025 14:19," 108,292,000,000.00 ",1.9481567,1804860000,4/10/2025
1851,BROWNS INVESTMENTS PLC,BIL.N0000, 7.50 , 7.10 ,7.352941176, 0.50 , 7.30 , 200.00 ,26-Jul-11,22067018,746," 161,064,171.90 ",4/10/2025 14:29," 104,899,000,000.00 ",1.887123,14369717460,4/10/2025
415,LION BREWERY (CEYLON) PLC,LION.N0000," 1,300.00 "," 1,289.50 ",0.252035673, 3.25 ," 1,292.75 ", 2.00 ,22-Jan-97,189,10," 244,280.50 ",4/10/2025 14:04," 103,420,000,000.00 ",1.860517,80000000,4/10/2025
175,HAYLEYS PLC,HAYL.N0000, 139.00 , 134.50 ,4.816955684, 6.25 , 136.00 ," 1,056.00 ",1-Jan-53,797683,342," 109,013,869.30 ",4/10/2025 14:22," 102,000,000,000.00 ",1.8349714,750000000,4/10/2025
